STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,OBS_VALUE,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN5M,_T,Y_GE15,_T,PT_RESP,_T,_T,ISCED11_GE_2_3,2024,24.77044236,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,"Deposited money into a bank or similar financial institution, monthly",Total,15 years old and over,Total,Percentage of respondents,Total,Total,Education: Secondary education or more,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN5M,_T,Y_GE15,_T,PT_RESP,_T,_T,ISCED11_0T1,2024,8.334664486,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,"Deposited money into a bank or similar financial institution, monthly",Total,15 years old and over,Total,Percentage of respondents,Total,Total,Education: Primary education or less,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN5LM,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2024,22.06081212,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,"Deposited money into a bank or similar financial institution, less than once a month",Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN5LM,M,Y_GE15,_T,PT_RESP,_T,_T,_T,2024,21.95808404,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,"Deposited money into a bank or similar financial institution, less than once a month",Male,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN5LM,F,Y_GE15,_T,PT_RESP,_T,_T,_T,2024,22.16438915,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,"Deposited money into a bank or similar financial institution, less than once a month",Female,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN5LM,_T,Y_GE15,_T,PT_RESP,INCOME_GE_Q3,_T,_T,2024,22.24031283,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,"Deposited money into a bank or similar financial institution, less than once a month",Total,15 years old and over,Total,Percentage of respondents,Income Level: Richest 60%,Total,Total,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN5LM,_T,Y_GE15,_T,PT_RESP,INCOME_Q1T2,_T,_T,2024,21.79097748,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,"Deposited money into a bank or similar financial institution, less than once a month",Total,15 years old and over,Total,Percentage of respondents,Income Level: Poorest 40%,Total,Total,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN5LM,_T,Y_GE25,_T,PT_RESP,_T,_T,_T,2024,22.41451968,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,"Deposited money into a bank or similar financial institution, less than once a month",Total,25 years old and over,Total,Percentage of respondents,Total,Total,Total,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN5LM,_T,Y15T24,_T,PT_RESP,_T,_T,_T,2024,20.81071998,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,"Deposited money into a bank or similar financial institution, less than once a month",Total,15 to 24 years old,Total,Percentage of respondents,Total,Total,Total,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN5LM,_T,Y_GE15,RUR,PT_RESP,_T,_T,_T,2024,24.38231957,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,"Deposited money into a bank or similar financial institution, less than once a month",Total,15 years old and over,Rural area,Percentage of respondents,Total,Total,Total,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
