variable,description
v2x_polyarchy,"Index estimate (Point Estimate, Median value) - Electoral democracy index (D). Aggregated as average of Multiplicative Polyarchy Index (MPI) and Additive Polyarchy Index (API). Formula: 0.5 * MPI + 0.5 * API = 0.5 * (v2x_elecoff * v2xel_frefair * v2x_frassoc_thick * v2x_suffr * v2x_freexp_altinf) + 0.5 * (0.125 * v2x_elecoff + 0.25 * v2xel_frefair + 0.25 * v2x_frassoc_thick + 0.125 * v2x_suffr + 0.25 * v2x_freexp_altinf)."
v2x_polyarchy_codelow,Lower bound (HPD Interval 68/70%) - Electoral democracy index (D). Aggregated as average of Multiplicative Polyarchy Index (MPI) and Additive Polyarchy Index (API). Formula: 0.5 * MPI + 0.5 * API = 0.5 * (v2x_elecoff * v2xel_frefair * v2x_frassoc_thick * v2x_suffr * v2x_freexp_altinf) + 0.5 * (0.125 * v2x_elecoff + 0.25 * v2xel_frefair + 0.25 * v2x_frassoc_thick + 0.125 * v2x_suffr + 0.25 * v2x_freexp_altinf).
v2x_polyarchy_codehigh,Upper bound (HPD Interval 68/70%) - Electoral democracy index (D). Aggregated as average of Multiplicative Polyarchy Index (MPI) and Additive Polyarchy Index (API). Formula: 0.5 * MPI + 0.5 * API = 0.5 * (v2x_elecoff * v2xel_frefair * v2x_frassoc_thick * v2x_suffr * v2x_freexp_altinf) + 0.5 * (0.125 * v2x_elecoff + 0.25 * v2xel_frefair + 0.25 * v2x_frassoc_thick + 0.125 * v2x_suffr + 0.25 * v2x_freexp_altinf).
v2x_polyarchy_sd,Standard deviation of the posterior distribution - Electoral democracy index (D). Aggregated as average of Multiplicative Polyarchy Index (MPI) and Additive Polyarchy Index (API). Formula: 0.5 * MPI + 0.5 * API = 0.5 * (v2x_elecoff * v2xel_frefair * v2x_frassoc_thick * v2x_suffr * v2x_freexp_altinf) + 0.5 * (0.125 * v2x_elecoff + 0.25 * v2xel_frefair + 0.25 * v2x_frassoc_thick + 0.125 * v2x_suffr + 0.25 * v2x_freexp_altinf).
e_v2x_polyarchy_3C,"Ordinalized version (3 Categories: 0, 0.5, 1.0) - Electoral democracy index (D). Aggregated as average of Multiplicative Polyarchy Index (MPI) and Additive Polyarchy Index (API). Formula: 0.5 * MPI + 0.5 * API = 0.5 * (v2x_elecoff * v2xel_frefair * v2x_frassoc_thick * v2x_suffr * v2x_freexp_altinf) + 0.5 * (0.125 * v2x_elecoff + 0.25 * v2xel_frefair + 0.25 * v2x_frassoc_thick + 0.125 * v2x_suffr + 0.25 * v2x_freexp_altinf)."
e_v2x_polyarchy_4C,"Ordinalized version (4 Categories: 0, 0.33, 0.67, 1.0) - Electoral democracy index (D). Aggregated as average of Multiplicative Polyarchy Index (MPI) and Additive Polyarchy Index (API). Formula: 0.5 * MPI + 0.5 * API = 0.5 * (v2x_elecoff * v2xel_frefair * v2x_frassoc_thick * v2x_suffr * v2x_freexp_altinf) + 0.5 * (0.125 * v2x_elecoff + 0.25 * v2xel_frefair + 0.25 * v2x_frassoc_thick + 0.125 * v2x_suffr + 0.25 * v2x_freexp_altinf)."
e_v2x_polyarchy_5C,"Ordinalized version (5 Categories: 0, 0.25, 0.50, 0.75, 1.0) - Electoral democracy index (D). Aggregated as average of Multiplicative Polyarchy Index (MPI) and Additive Polyarchy Index (API). Formula: 0.5 * MPI + 0.5 * API = 0.5 * (v2x_elecoff * v2xel_frefair * v2x_frassoc_thick * v2x_suffr * v2x_freexp_altinf) + 0.5 * (0.125 * v2x_elecoff + 0.25 * v2xel_frefair + 0.25 * v2x_frassoc_thick + 0.125 * v2x_suffr + 0.25 * v2x_freexp_altinf)."
v2x_libdem,"Index estimate (Point Estimate, Median value) - Liberal democracy index (D). Aggregated from Electoral Democracy (v2x_polyarchy) and Liberal Component (v2x_liberal). Formula: 0.25 * v2x_polyarchy^1.585 + 0.25 * v2x_liberal + 0.5 * v2x_polyarchy^1.585 * v2x_liberal."
v2x_libdem_codelow,Lower bound (HPD Interval 68/70%) - Liberal democracy index (D). Aggregated from Electoral Democracy (v2x_polyarchy) and Liberal Component (v2x_liberal). Formula: 0.25 * v2x_polyarchy^1.585 + 0.25 * v2x_liberal + 0.5 * v2x_polyarchy^1.585 * v2x_liberal.
v2x_libdem_codehigh,Upper bound (HPD Interval 68/70%) - Liberal democracy index (D). Aggregated from Electoral Democracy (v2x_polyarchy) and Liberal Component (v2x_liberal). Formula: 0.25 * v2x_polyarchy^1.585 + 0.25 * v2x_liberal + 0.5 * v2x_polyarchy^1.585 * v2x_liberal.
